名称,类型,供应市场环境,供货及时率得分,供货合格率得分,原料可追溯性,年度净利润率(%),年采购金额,成本透明度,成立年限,技术研发,注册资金,物料可替代度,生产环境,行政处罚记录,负面信息次数,质量RPN值,质量与安全管理体系
ADVANCED LIPIDS AB,2,4,99.63,99.26,100,18.75,2148349.5,3,11.7,20,100,4,66.9,0,0,300,100
ALAMFOODS INC,2,0,100,96.77,90,0.67,69408948,5,16.4,100,100,4,99.56,0,0,160,100
Arla Foods amba.,2,0,100,96.77,0,3.6,0,5,139.1,100,10000,0,0,0,0,300,0
Armor Proteines,1,0,100,100,100,212.24,6084400,5,64.3,100,8477000,0,99.15,0,0,300,100
Burra Foods Pty Ltd,2,0,100,96.77,86.48,2,0,5,18.5,100,100,0,81.32,0,0,300,85.78
Cooperativa Nacional de Productores de Leche,1,0,100,100,100,9.64,54588000,5,82.6,100,2000,0,97.86,0,0,300,100
DMK DEUTSCHES MILCHKONTOR GMBH,2,2,100,97,86.48,19.88,125088000,5,7.4,100,15168,0,81.32,0,0,300,85.78
Dairygold Food Ingredients Ltd,1,0,100,100,100,23.49,7627800,5,28.3,100,84880,0,99.15,0,0,300,93.75
EUROSERUM SAS,1,0,100,96.77,100,0.21,10412100,1,40,100,5000,0,99.55,0,0,300,100
Estancias del Lago S.R.L.,2,0,100,96.77,100,0,0,5,11.8,100,34197,0,99.15,0,0,300,100
Glanbia Nutritionals Inc.,1,0,100,97.7,100,8.2,73933110,5,22,100,40000,0,98.15,0,0,160,96.88
Guan Chong Cocoa Manufacturer Sdn Bhd,2,2,97.81,95.18,100,0.27,25372281.25,1,28,50.5,465.82,4,97.75,0,0,300,94.12
HILMAR INGREDIENTS,1,0,100,100,100,6,966400,5,35,100,500,0,98.72,0,0,300,100
HOOGWEGT INTERNATIONAL BV,2,0,100,97.2,100,0.43,29968500,5,53.3,100,250,0,95.24,0,0,300,100
Hoogwegt Australia PTY LTD,1,0,100,96.77,86.48,0.5,0,5,22.3,100,175,0,81.32,0,0,300,85.78
INTERFOOD SINGAPORE PTE LTD.,2,0,100,99.1,86.48,0.12,45476600,5,10,100,15.0012,0,81.32,0,0,160,85.78
JB COCOA SDN BHD,2,2,97.81,95.18,86.48,0.33,3105000,1,17,50.5,3406,4,81.32,0,0,300,85.78
LACTALIS INGREDIENTS,2,0,100,96.77,100,0,0,5,23.2,100,865,0,99.15,0,0,300,100
MIRAKA LIMITED,2,0,100,100,86.48,0,28723000,5,7.4,100,7280,0,81.32,0,0,300,85.78
MOI FOODS MALAYSIA SDN.BHD,2,0,100,100,86.48,0.4,9649687,1,16.7,0,0,0,81.32,0,0,300,85.78
Murray Goulburn Co-operative Co. Limited,1,0,100,96.77,86.48,1.13,0,5,106.8,100,50000,0,81.32,0,0,300,85.78
OLAM INTERNATIONAL LIMITED,1,0,100,100,86.48,10,121549500,5,23.5,100,1660000,0,81.32,0,0,300,85.78
OPEN COUNTRY DAIRY COMPANY LIMITED,2,0,100,99.7,86.48,0,405765000,5,14,100,24500,0,81.32,0,0,300,85.78
Oceania Dairy Limited,1,0,100,100,86.48,-51.53,105873498,0,10,100,10785.8744,0,81.32,0,0,300,85.78
PACIFIC DAIRY INGREDIENTS(SHANGHAI)CO.LTD.,2,0,100,96.77,86.48,-4,0,5,16.1,100,51,0,81.32,0,0,300,85.78
PT.Smart Tbk,2,0,99.63,99.26,80,5.02,767692.8,1,56.2,20,4357,0,99.22,0,0,300,100
Sachsenmilch Leppersdorf GmbH,1,0,100,100,100,0.54,146781394.2,5,25,100,3.6,0,98.72,0,0,160,96.88
Warrnambool Cheese and Butter Factory Company Holdings Limited,2,2,100,96.77,86.48,7.55,0,5,130.6,100,500,4,81.32,0,0,300,85.78
Westland Co-operative Dairy Company Limited,1,0,100,96.77,86.48,12.92,0,5,81.9,100,10800,0,81.32,0,0,300,85.78
wheyco GmbH,2,2,100,46.5,100,19.93,67327409.64,5,14.4,100,1100,4,92.67,0,0,300,90.63
